,desc,location,size,value
848,Runda Homes Kiambu Rd,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
849,Loresho Home,"Loresho, Nairobi, Nairobi",3 Bedrooms,KSh 33000000
850,An Exclusive And Prestigious Modern 4 Bedroom Villa in Kitisuru,"Kitisuru road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
851,Luxurious New And Modern 4 Bedroom Townhouses in Lavington,"Riara Road, Riara, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
852,4 Bedroom Townhouse for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 63000000
853,Sidai Village 3 Bed Maisonettes,"Lukenya, Nairobi, Nairobi",3 Bedrooms,KSh 9500000
854,Beautiful 4 Bedroom House in Exclusive Gated Community in Kitisuru,"Peponi road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
855,Brook Side Super 5 Bed Room Town House for sale,"Brook side, Brookside, Nairobi, Nairobi",5 Bedrooms,KSh 41000000
856,4 Bedroom Town House All Ensuite for sale in Kiambu Road,"kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
857,Oak Park Estate Three Bedroom (all Ensuite) Bungalows Along Kenyatta Road,"Kenyatta Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 3990000
858,The Grove - Luxurious Five bedroom Villas,"Red Hill, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
859,5 Bedroom Mansionette in Lavington,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 40000000
860,Wonderful 4 Bedroom Maisonette In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
861,Luxurious 3 Bedroom Mansionatte with SQ for sale,"Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 27000000
862,Pine Wood Estate Kenyatta Road Opposite the New Reign Hotel,"Kenyatta Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 3990000
863,5 Bedroom Bungalow on 17 Ac Plot For Sell in Karen,"KAREN KIKENI CLOSE, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 220000000
864,Prime office building for sale in Upper Hill,"Upper Hill, Upper Hill, Nairobi, Nairobi",1 Bedrooms,KSh 1200000000
865,3 Bedroom Town House in Kilimani,"ndemi lane, Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 31000000
866,Maple Ridge Estate Three Beroom Bungalows all Ensuite Along Waiyaki Way.,"Kikuyu, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,KSh 3990000
867,Magnificent 6 Bedrooms Villa,"Peponi  Road, Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
868,The Riverine Townhouse,"Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 15000000
869,5 Bedroom Townhouse in Kileleshwa,"KILELESHWA, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
870,Runda 5 Bedroom House for sale 85M,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
871,Modern Design Masionette,"Garden Estate, Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
872,Ten 4-Bedroom Luxury Villas at Ongata Rongai,"Gataka Road 250metres from Maasai mall (Uchumi, Kajiado, Nairobi, Nairobi",4 Bedrooms,KSh 23500000
873,Waterfront Loresho,"Loresho, Nairobi, Nairobi",3 Bedrooms,KSh 33000000
874,4 Bedroom Townhouse in Karen on Half an Acre near the Hub on Dagoretii Road,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
875,An Elegant 5 Bedroom all En Suite Townhouse in Lavington,"Kaputei Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
876,"Runda Gardens, Homes","Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
877,6 Bedroom Maisonette - Miotoni-Karen,"MIOTONI, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 150000000
878,4 Bedroom Mansion House,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12000000
879,4 Bedroom Luxury Houses for sale in Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 41950000
880,6 Bedroom Townhouse for sale in Lavington,"Gitanga Road, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 40000000
881,Aspire Villas,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
882,Elegant 4 Bedroom Townhouse for Sale in Langata - 3KE1231761,"Langata, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
883,LUXURY 5 BEDROOMS HOUSE FOR SALE,"Marist lane, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 135000000
884,4 Bedroom House for Sale in Karen,"The Hub, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
885,4 Bedroom House for sale in Loresho,"Loresho Close, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
886,6 bedroom house for sale in Karen-3KE1370980,"Karen, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
887,House at Rosslyn Loontree for sale,"Rosslyn, Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
888,Fairfield Park Mombasa Road,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
889,Kencom Homes - Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
890,Spectacular Family Home for sale in Karen,"Karen, Bogani Road, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
891,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
892,Old Muthaiga 4 Bedroom All En Suite Standalone House,"Old Muthaiga, Old Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 250000000
893,4 Bedroom House for Sale in Karen,"Near the Hub, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
894,A Charming 4 Bedroom Maissonatte In Parklands,"Parklands 2nd avenue, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
895,Townhouses In Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
896,Luxury 5 Bedroom House,"Mimosa drive, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
897,Stunning 5 Bedroom House in a Gated Community in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
898,2 Light-Filled Modern Homes for sale,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 220000000
899,A Brand New 4 Bedroom Town-House for sale in Runda,"Runda mumwe, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
900,Gem Juja Maisonettes 3 Bedroom 2 Ensuite at Juja Kalimoni.,"Juja, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
901,Cosmopolitan 4 Bedroom Townhouse in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
902,Brookside:4 Bedroom Townhouse for sale,"brookside, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 58000000
903,5 Bedroom Townhouse for sale in Karen,"Mukoyeti West Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
904,Magnificient 10 bed Mansion on half acer in Kar,"Koitabas Road, Karen, Nairobi, Nairobi",10 Bedrooms,KSh 140000000
905,House for sale,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
906,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
907,5 Bedroom House for Sale in Karen,"Mukoma Estate, Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 250000000
908,4 bedrooms maisonette for sale in South c,"South c, South C, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
909,Karen Townhouse With 5 Bedrooms,"Mbogani Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
910,Beautiful 4 Bedroom Maisonette In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
911,5 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
912,5 Bedroom Townhouse for sale in Karen,"Nandi Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
913,5 Bedroom Lovely Villa In Lavington,"Kabarsiran Avenue, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
914,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 59000000
915,4 Bedroom Maisonette for sale at Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 10000000
916,Stunning 4 Bedroom Town House,"Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 36000000
917,3 Bedroom House for sale in Karen - 3ke1111208,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 49900000
918,Gem Juja Maisonettes Three and Four Bedroom Units,"Thika Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 3500000
919,A Luxurious 5 Bedroom House on 05 Acres for sale in Runda,"Off panafric insurance avenue, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
920,Magnificent 4 Bedroom House In Dornholm Phase 8,"Donholm, Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
921,5 Bedroom Townhouse for sale in Kitisuru,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
922,18 0305 ST A Special Offering; Elegant Townhouse Rarely Available. 18 03 15,"Westlands, Rhapta Road, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 53000000
923,Lovely 4 bedroom villa for sale at Brookside,"Westlands, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
924,"Banda Homes, Redwood Estate Kenyatta Road","Kenyatta Road, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 6750000
925,4 Bedroom Maisonette With Sq for sale- Nairobi West,"Nairobi West, Nairobi West, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
926,3 Bedrooms House,"Kitengela road, Langata, Nairobi, Nairobi",3 Bedrooms,KSh 16000000
927,Town House Westlands,"Grivellea Groove off Brookside Drive, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
928,Magnificent 4 Bedroom Town House In Loresho.,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 35500000
929,5 Bedroom Town House for sale Chalbi Drive,"chalbi drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
930,The Kyuna Ambassadorial House,"Kyuna, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
931,"Nyari, House for sale","NYARI, Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
932,5 Bedroom House for sale in Kiambu Road,"Kiambu Road, Kiambu Road, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
933,"Ruaraka, 3 Bedroom Apartment for sale","Ruaraka, Ruaraka, Nairobi, Nairobi",3 Bedrooms,KSh 7500000
934,5 Bedroom Townhouse for sale in Kileleshwa,"Kaputei Rd, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
935,FOUR BEDROOMS  STANDALONE HOUSE IN RUNDA FOR SALE,"Runda road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
936,5 Bedroom Townhouse Kerarapon,"Kerarapon, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
937,5 Bedroom Townhouse for sale in Lavington,"Lavington Green, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
938,Rich And Roomy House for sale,"Kerarapon, Kerarapon, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
939,"NGUMO/GOLF COURSE - 3 BEDROOMS MAISIONETTE, 2 EXTENSIONS 1 & 2 BEDROOMS.","OFF Mbagathi road, Ngummo, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
940,Exclusive 4 Bedrooms Townhouse in Riverside,"RIVERSIDE, Riverside, Nairobi, Nairobi",4 Bedrooms,KSh 200000000
941,6 Bedroom House in A 1/2 Acre Compound for sale- Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6 Bedrooms,KSh 250000000
942,Nairobi West Superb 5 Bed Room Maisonette for sale,"Nairobi West, Nairobi West, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
943,3 Bedroom Bungalows with a Dsq in Athiriver,"Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 7900000
944,Modern & Spacious House for sale,"Hillcrest road, Karen, Nairobi, Nairobi",5 Bedrooms,Contact seller for price
945,A Spacious Corner House 5 Bedroom All Ensuite for sale in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
946,Magnificent 5 Bedroom Villa Kerapon Road Karen,"Kerarapon road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
947,Beautiful 4 Bedroom House in Kiambu Road,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
948,3 Bedroom House in Kileleshwa,"Oloitoktok rd, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 27800000
949,7 bedroom House for sale in Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",7 Bedrooms,KSh 140000000
950,5 Bedroom Tonwhouse Corner House in Lavington,"MASADUKU LINE, Lavington, Nairobi, Nairobi",14 Bedrooms,KSh 52000000
951,5 Bedroom House,"Loresho ridge, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 375000000
952,Westlands Townhouse,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
953,4 Bedroom House,"Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
954,4 Bedroom Maisonette in About Half Acre Land in Ruiru,"Thika Road, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
955,Muthaiga-5 Bedroom Property on 1 Acre Garden,"Muthaiga-5 bedroom house for sale -290M, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 290000000
956,Exclusive 10 Bedroom Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",10 Bedrooms,KSh 380000000
957,4 Bedroom House for sale in Loresho,"Loresho Crescent, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
958,Cottingham Woods,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
959,Modern Masterpiece House in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
960,5br Townhouse Runda,"Mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
961,BEAUTIFUL 4 BEDROOMS TOWNHOUSE FOR SALE,"Mahiga Mairu, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
962,3&4 Bedroom Town Houses In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",2 Bedrooms,KSh 9800000
963,5 Bedroom Townhouse For sale Lavington,"Convent Rd, Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
964,4 Bedroom Maisonettes in Utawala,"utawala, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 13700000
965,4 Bedroom Townhouse for sale in Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 9500000
966,Luxury Harbor in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
967,5 Bedrooms Townhouse all Ensuite in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
968,Brand New 3 Bedroom Townhouse All Ensuite With A D Sq,"Mombasa Road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
969,5 Bedroom Townhouse for sale in Lavington,"Mugumo Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
970,4 Bedroom Town House In Runda Gardens,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
971,THREE BEDROOM HOUSE WITH FOUR RENTAL UNITS- SOUTH,"South B, South B, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
972,Modern 7 Bedroom House in Thome,"Mukuyu road, Thome, Nairobi, Nairobi",7 Bedrooms,KSh 55000000
973,5 Bedroom House For Sale In Kitengela In New Valley On 1/4 Acre,"Kitengela, Riruta, Nairobi, Nairobi",5 Bedrooms,KSh 15900000
974,5 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
975,5 Bedroom Townhouse for sale in Lavington,"Amboseli, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
976,Windsor View Court,"Kiambu Road., Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 18000000
977,Luxurious Town House for sale,"Kileleshwa-vihiga road, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
978,Lovely Maisonettes in Syokimau,"Community Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
979,7 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 150000000
980,4 Bedroom Townhouse 2 Dsq for sale in Kilimani,"George Padmore road, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 28500000
981,Fairfield Park,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
982,Town House 4 Bedrooms all En-suite with Dsq – Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
983,A Cosy Six Bedrooms Town House in Runda,"runda groove, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
984,Lovely Bungalow in Galleria,"Galleria, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
985,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
986,3 Bedroom House for sale in Dagoretti,"Dagoretti, Dagoretti Road, Nairobi, Nairobi",3 Bedrooms,KSh 11000000
987,4 Bedroom Townhouse in Karen,"Karen, Dagoretti Road, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
988,3 Bedroom House For Sale In Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 20000000
989,Fairfield Park Mombasa Road,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
990,Runda- 5 Bedroom Townhouse,"Runda house for sale, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
991,Fairfield Park Homes,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
992,Modern One Bedroom Apartment in Westlands,"Westland road, Westlands, Nairobi, Nairobi",1 Bedrooms,KSh 13000000
993,Lavington Kabarsiran Townhouse,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
994,4 bedroom all ensuite villa in Kerarapon for Sale,"Ngong Rd, Ngong Road, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
995,"Runda, 4bedroom for sale","Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
996,3 Bedroom Bungalow for sale in Ruiru,"Gwa Kairu, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 6200000
997,4 Bedroom Townhouse For Sale In Balozi,"Unnamed Road Nairobi, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
998,A Lovely 4 Bedroom Townhouse in Westlands,"General Mathenge Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 42000000
999,"5 Bedroom Townhouse in Westlands, Nairobi","Grevillea Groove, Westlands, Nairobi, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1000,4 Bedroom House for Sale in Karen,"Langata Rd, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 150000000
1001,An Exclusive And Prestgious 4 Bedroom House on 1 Acre in Lavington,"James Gichuru road, Lavington, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1002,Luxurious House for sale in Kileleshwa -Vihiga Road,"Kileleshwa-vihiga road, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1003,5 Bedroom Townhouse in Syokimau,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 28000000
1004,Magnificent 4 Bedroom House In Dornholm Phase 8,"Donholm, Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
1005,4 Bedroom House for sale in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1006,Hardrock Park Estate Kenyatta Road,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1007,Amazing 5 Bedrooms House in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
1008,Newly Built 5 Bedroom Double Storey House in Ridgeways,"Ridgeways, Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1009,"Lavington, 5 Bedroom for sale","washika rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1010,"4 Bedroom Mansion Set on 1 Acre, along Peponi Road","Peponi Road, Peponi, Nairobi, Nairobi",4 Bedrooms,KSh 185000000
1011,Executive 4 Bedroom Maisonette in Ruaka,"Excecutive four bedroomed massonate for sale in Ruaka, Ruaka, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
1012,4 Bedroom House for sale in Kiambu,"Kiambu, Riabai Rd, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 23750000
1013,Muhugu Park- Karen,"Kerarapon Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1014,The Gem Gardens Affordable Bungalows along Thika Road,"Thika Road, Ruiru, Nairobi, Nairobi",2 Bedrooms,KSh 2350000
1015,Garden Estate 5 Bedroom House with Family Room,"Garden Estate, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
1016,Residential Units,"Bogani Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 88000000
1017,5 Bedroom House in Karen,"Windy ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1018,Executive 5 Bedroom Townhouse All Ensuite With Dsq And Big Garden,"ramisi road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1019,"Donholm, 3 And 4 Bedroom Maisonettes for sale","Donholm, Donholm, Nairobi, Nairobi",3 Bedrooms,KSh 13000000
1020,Beautiful House in a Gated Community,"Runda Road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 138000000
1021,9 Bedroom House for sale in Kisumu Cbd,"Kisumu, Achieng' Oneko Rd, Riruta, Nairobi, Nairobi",9 Bedrooms,KSh 80000000
1022,17 1012  Sensational Voluminous Branded Townhouse at Kitisuru,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
1023,4 bedroom House to sale all ensuite in Runda Meandows.,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 150000000
1024,5 Bedrooms Townhouse,"Ruiru, Membley, Nairobi, Nairobi",5 Bedrooms,KSh 20000000
1025,5 Bedroom House For Sale At Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1026,5 Bedroom Townhouse for Sale in Lavington,"Nairobi, Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1027,Fairfield Park Mombasa Road,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
1028,The Crown Jewel House in Nyari,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 135000000
1029,Runda 5 Bedroom House,"Runda, Mae Ridge, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1030,Wonderful 4 Bedroom Maisonette In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
1031,Beautiful 4 B/R Standalone House In Lavington,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
1032,6 Bedroom Townhouse for sale in Kileleshwa,"Laikipia Rd, Kileleshwa, Nairobi, Nairobi",6 Bedrooms,KSh 120000000
1033,Old Kitisuru A State of The Art Brand New 5 Bedroom Townhome on Sale/Rent,"Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1034,Cosy & Spacious 5 Bedroom House,"Karen Road, Karen, Nairobi, Nairobi",5 Bedrooms,Contact seller for price
1035,An Elegant 5 Bedroom Town House House,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1036,3 Bedroom House at Kerarapon Drive,"Kerarapon Drive, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 40000000
1037,Gorgeous 6 Bedroom House in Karen - 3KE1500005,"Karen, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
1038,6 Bedroom House Available for sale in Nyari,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 200000000
1039,3 Bedroom House For Sale In South B,"South B, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 14500000
1040,"Runda, 5 Bedroom for sale","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
1041,House in Kitsuru,"KITISURU, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
1042,Town Hse 5 Bedrooms all Ensuite DSQ Study Garden Lavington,"Nairobi, Nairobi",5 Bedrooms,KSh 62000000
1043,Townhouse for sale,"Isaac gathanju road, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
1044,4 Bedroom Townhouse for sale in Lavington,"Valley Arcade, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
1045,Elegant 5 Bedroom Townhouse in Kileleshwa Nairobi,"Kileleshwa Nairobi, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1046,Highlight Homes for sale,"KAREN, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1047,Kencom Sacco Homes - Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
1048,5 Bedroom Townhouse in Karen,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1049,Town House 5 Bedroom All Ensuite for sale Kileleshwa,"Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
1050,Eminently Desirable 5 Bedroom House in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1051,House for sale in Karen Estate,"Karen, Nairobi, Nairobi",7 Bedrooms,KSh 95000000
1052,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1053,Thome House next to Windsor,"Thome, Nairobi, Nairobi",7 Bedrooms,KSh 60000000
1054,4 Bedroom House for sale in Loresho,"Loresho Crescent, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1055,"Five Bedrooms Townhouse with Modern Finishing, Mature Garden in Karen","Langata road, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1056,Multi-Level Contemporary House for sale,"Karen, Hardy, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 88000000
1057,Ngumo Estate,"Ngummo, Nairobi, Nairobi",3 Bedrooms,KSh 19000000
1058,"4 Br Townhouse, Kiambu Road","kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
1059,Furnished Home for sale,"Linoni Road, South B, Nairobi, Nairobi",4 Bedrooms,KSh 26000000
1060,5 Bedroom Townhouse for sale in Lavington,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1061,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1062,Spacious 4 Bedroom Townhouse in Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 39700000
